stop_id,stop_name,stop_desc,stop_lat,stop_lon
4953,HOWARD & LOGAN #4953,,42.9738468,-87.8968545
5342,APPLETON & GRANTOSA #5342,,43.1063061,-88.0180904
2075,S20 & S2761 #2075,,42.9941438,-87.9384858
6044,CAPITOL & ATKINSON #6044,,43.0894479,-87.9360943
9109,CALUMET & N91 #9109,,43.1558134,-88.0250679
4582,LUDINGTON & N85 #4582,,43.0545871,-88.0190057
1981,MLK & HADLEY #1981,,43.0692172,-87.913968
3638,HUMBOLDT & MEINECKE #3638,,43.0617265,-87.8979897
2081,S20 & MORGAN #2081,,42.9812553,-87.9388003
606,VLIET & N33 #606,,43.048636,-87.9555545
4416,KEEFE & N67 #4416,,43.0826852,-87.995154
2522,W TOWN SQUARE WAY & MEIJER #2522,,42.8990356,-87.9132753
1855,ATKINSON & KEEFE #1855,,43.0818161,-87.9188249
432,BAY & CONWAY #432,,43.0009028,-87.8950383
4235,HIGHLAND & MARTIN #4235,,43.0460051,-87.9652559
5349,EDGERTON PARKING LOT #5349,,42.9519896,-88.0020457
5713,VILLARD & SHERMAN #5713,,43.1118964,-87.9667659
6220,S60 & GRANT #6220,,43.0048959,-87.9875458
5217,LINCOLN & S16 #5217,,43.0029868,-87.9331957
8519,HOWARD & PENNSYLVANIA #8519,,42.9737378,-87.8794852
2583,N91 & FLAGG #2583,,43.1247676,-88.0259651
2814,S68 & FOREST HOME #2814,,42.9700913,-87.998098
4764,NORTHWAY & GRANGE #4764,,42.9448221,-87.9882905
1656,FOREST HOME & ROOT RIVER PKWY #1656,,42.950977,-88.027472
7087,HOPKINS & STARK #7087,,43.1065567,-87.9610065
856,TEUTONIA & CORNELL #856,,43.102286,-87.9455863
5105,OKLAHOMA & W11100 #5105,,42.9883163,-88.0503444
112,PERIMETER ROAD & NE ALEXIAN ENTRANCE #112,,43.1850678,-88.0077066
191,CONGRESS & N91 #191,,43.0968884,-88.0265738
4613,N35 & PARKHILL #4613,,43.0328276,-87.9578676
1684,NATIONAL & S29 #1684,,43.0221332,-87.9500101
5097,OKLAHOMA & S80 #5097,,42.9884065,-88.0127959
756,VLIET & N25 #756,,43.0486859,-87.9450745
262,HARTFORD & DOWNER #262,,43.0775071,-87.8782771
1944,S13 & HOLT #1944,,42.9826876,-87.928827
5165,SUPERIOR & 3211 #5165,,42.9859686,-87.869689
6959,N60 & WABASH #6959,,43.1746072,-87.9845473
4422,KEEFE & N53 #4422,,43.0825314,-87.9797756
2590,PACKARD & 6045 #2590,,42.9347021,-87.8608558
542,PORT WASHINGTON & TOWNE CENTER #542,,43.1234657,-87.9153859
6109,CAPITOL & N88 #6109,,43.0898808,-88.0224188
3750,CENTER & N1 #3750,,43.0675962,-87.9107403
2099,S20 & GRANGE #2099,,42.9450074,-87.9392655
7123,N6 & KILBOURN #7123,,43.0417962,-87.9192365
2476,N76 & NORTHRIDGE LAKES #2476,,43.1842459,-88.0041854
2988,HIGHLAND & N15 #2988,,43.044226,-87.9317644
170,N91 & DALLAS #170,,43.1438224,-88.0251503
4873,S76 & LAYTON #4873,,42.9595872,-88.0084847
6181,SILVER SPRING & N39 #6181,,43.1193062,-87.9609068
26,N76 & FLORIST #26,,43.1267847,-88.0058049
2116,S20 & BIRCHWOOD #2116,,42.9397769,-87.9391575
526,BLUEMOUND & N112 #526,,43.0356953,-88.0527662
1901,S13 & S3601 #1901,,42.9792534,-87.929089
8298,WHITNALL & IOWA #8298,,42.9620249,-87.8847041
6218,S60 & BELOIT #6218,,43.0086964,-87.9875068
9460,LAYTON & S76 #9460,,42.9594262,-88.0094421
1229,N60 & CUSTER #1229,,43.1161772,-87.9863255
6568,PORT WASHINGTON & MALL #6568,,43.1494169,-87.9143872
1001,NATIONAL & LINCOLN #1001,,43.0025753,-88.0309993
232,OKLAHOMA & S114 #232,,42.9883076,-88.0544757
3694,NORTH & N23 #3694,,43.0605676,-87.940846
6997,S68 & COLD SPRING #6997,,42.9668073,-87.998294
6207,SILVER SPRING & LOVERSLANE #6207,,43.1193367,-88.0545241
1182,FOREST HOME & S56 #1182,,42.978707,-87.9845978
225,OKLAHOMA & S76 #225,,42.9883858,-88.0073869
142,CONGRESS & N70 #142,,43.0972955,-87.9992845
1447,KK & NORWICH #1447,,42.9719212,-87.8740724
207,CONGRESS & FOND DU LAC #207,,43.0969074,-87.9856873
1510,CHICAGO & MARSHALL #1510,,42.9060996,-87.8650726
4491,WILSON & OLIVE #4491,,43.091155,-87.8963856
3641,NORTH & BARTLETT #3641,,43.0600474,-87.889577
7202,S6 & CLEVELAND #7202,,42.9954415,-87.9187449
5795,BURLEIGH & N20 #5795,,43.0751183,-87.9371473
5288,LINCOLN & S33 #5288,,43.0029982,-87.9556658
1988,ATKINSON & KEEFE #1988,,43.0821267,-87.9191476
3923,N 27TH & LOCUST #3923,,43.0716531,-87.9473796
3730,NORTH & MENOMONEE #3730,,43.0604868,-88.0317463
3665,DOWNER & BRADFORD #3665,,43.0637494,-87.8781932
4356,OGDEN & MARSHALL #4356,,43.0480357,-87.9012259
7054,APPLETON & ELM #7054,,43.1672193,-88.10084
4343,WISCONSIN & N18 #4343,,43.0385835,-87.9357119
7041,S70 & GREENFIELD #7041,,43.0166076,-88.0000158
4376,HARTFORD & MARYLAND #4376,,43.0777104,-87.8824073
4243,LISBON & SHERMAN #4243,,43.0577365,-87.9673058
7978,LAKE & ARMOUR #7978,,42.9617951,-87.8501182
2774,RYAN & LOT #2774,,42.8732371,-87.935427
6017,CAPITOL & N72 #6017,,43.0898265,-88.0020343
1141,FOREST HOME & S48 #1141,,42.985465,-87.974005
6716,STATE & 4401 #6716,,43.0423669,-87.9679252
6815,N60 & GOOD HOPE #6815,,43.1489248,-87.9856876
984,LAYTON & BRUST #984,,42.9593634,-87.8898065
8011,NICHOLSON & DENTON #8011,,42.9686633,-87.8729036
1155,FOREST HOME & S68 #1155,,42.9709884,-87.997578
1485,S5 & MARION #1485,,42.9043876,-87.8520274
788,TEUTONIA & NORTH #788,,43.0602562,-87.9279357
128,N64 & CUSTER #128,,43.1163583,-87.9911411
4797,APPLETON & HAMPTON #4797,,43.1047845,-88.015647
7530,ROUNDHOUSE & CANAL #7530,,43.0278343,-87.9566894
5238,LINCOLN & S66 #5238,,43.0029574,-87.9943293
6335,N76 & APPLETON #6335,,43.0944257,-88.0073142
4115,NORTH & N117 #4115,,43.0601627,-88.0585481
278,GREENFIELD & S33 #278,,43.0168357,-87.9553156
1617,S108 & ARTHUR #1617,,42.9987591,-88.046826
6048,CAPITOL & N12 #6048,,43.0892668,-87.9261356
1843,ATKINSON & ROOSEVELT #1843,,43.0952902,-87.9443797
5809,BURLEIGH & N49 #5809,,43.0752655,-87.974656
6502,S92 & HOLT #6502,,42.9834938,-88.0275979
1294,KK & KOENIG #1294,,42.9743619,-87.8754304
7967,NICHOLSON & ADAMS #7967,,42.9460131,-87.8745981
9081,CLEVELAND & S102 #9081,,42.9954084,-88.0413134
1426,WATER & KILBOURN #1426,,43.0424574,-87.9106973
1562,S15 & OAK CREEK #1562,,42.9235808,-87.87079
7111,N8 & HADLEY #7111,,43.0695373,-87.9215565
6345,N76 & CHAMBERS #6345,,43.0736378,-88.0075838
782,N12 & VLIET #782,,43.0484079,-87.9270461
5225,LINCOLN & S33 #5225,,43.0031411,-87.9552161
3647,LAKE & NORTH #3647,,43.0606074,-87.8798444
1557,S17 & RAWSON #1557,,42.9151456,-87.8758666
6874,S76 & OKLAHOMA #6874,,42.9884397,-88.0078001
1486,S5 & MACKINAC #1486,,42.9017077,-87.8521176
425,MILWAUKEE & KILBOURN #425,,43.0426575,-87.907102
4987,MORGAN & S68 #4987,,42.9812074,-87.9976362
2056,N16 & STPAUL #2056,,43.0350609,-87.9330733
6883,S76 & HIGHSCHOOL #6883,,42.9483968,-88.0087477
5223,LINCOLN & S29 #5223,,43.0031969,-87.950394
3648,LAKE & DOWNER #3648,,43.0623193,-87.8781866
781,N12 & MCKINLEY #781,,43.0470468,-87.9270549
6889,S76 & HOWARD #6889,,42.9736906,-88.0078054
6490,N92 & STEVENSON #6490,,43.0321342,-88.027537
5589,N92 & N3871 #5589,,43.0878814,-88.0278682
1950,S13 & HARRISON #1950,,42.9975245,-87.9284968
6987,S68 & MONTANA #6987,,42.9938911,-87.997696
5044,HOWARD & WHITNALL #5044,,42.9735858,-87.9058976
2037,GREENFIELD & S38 #2037,,43.0168283,-87.9620858
5578,N92 & N3871 #5578,,43.0876621,-88.0275682
532,BLUEMOUND & N124 #532,,43.0366581,-88.0668856
1193,FOREST HOME & S37 #1193,,42.9931234,-87.9610244
3963,S27 & OKLAHOMA #3963,,42.9887658,-87.9484173
2455,NATIONAL & S78 #2455,,43.0112166,-88.009826
55,FOND DU LAC & N27 #55,,43.0674056,-87.9475971
1890,WINDLAKE & BECHER #1890,,43.0066567,-87.9261345
1681,NATIONAL & S23 #1681,,43.0226265,-87.9420746
6281,S60 & PLAINFIELD #6281,,42.9691829,-87.9879797
872,TEUTONIA & LOCUST #872,,43.0707661,-87.9303946
6434,WAUWATOSA & MEINECKE #6434,,43.0625843,-88.0073602
1146,FOREST HOME & W54 #1146,,42.9800433,-87.9830324
89,MILL & N73 #89,,43.1342178,-88.0020957
4342,WISCONSIN & N19 #4342,,43.0385466,-87.9370077
